variable,x,y
bio_asc_42,1.0,0.5316263437271118
bio_asc_42,2.0,0.6174220442771912
bio_asc_42,3.0,0.2812281847000122
bio_asc_42,4.0,0.2782900333404541
bio_asc_42,5.0,0.2782900333404541
bio_asc_42,6.0,0.2782900333404541
bio_asc_42,9.0,0.513599693775177
bio_asc_42,10.0,0.2782900333404541
bio_asc_42,11.0,0.2174590677022934
bio_asc_42,12.0,0.47765153646469116
bio_asc_42,13.0,0.2782900333404541
bio_asc_42,14.0,0.2782900333404541
bio_asc_42,15.0,0.2782900333404541
bio_asc_42,16.0,0.2663613259792328
bio_asc_42,17.0,0.2782900333404541
