X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
115.2666667,1.133333333,train,3.8923357769301414E-5,8.8901338965185,0.1390153984666165
118.5833333,5.2,train,2.990655735670135E-4,56.01438727889807,0.553686350980564
117.416667,5.433333,train,0.0015849497189689813,90.89060317677523,0.8679807192091589
117.383333,5.433333,train,0.0018468885502938893,92.51729998578675,0.8845428198998596
117.4,5.416667,train,0.0015991083792526095,91.08146683876183,0.8689964991960475
117.25,5.483333,train,0.001076708572714259,84.8570800682021,0.8170634838469961
117.241111,5.441667,train,0.0021900697572028952,94.31418885702729,0.9008408290386374
117.8,5.016667,train,7.886251667483495E-4,79.00507961581799,0.7658823308671948
118.251389,5.456667,train,0.001120881263590578,85.57182313077989,0.8229967354197725
118.270833,5.504167,train,2.6664821936139344E-4,52.94753379751698,0.5251896113857161
113.05,2.65,train,2.4114284672771284E-4,50.57268534921087,0.500075760787818
113.88526,-2.32809,train,4.05606508270578E-4,64.24220127801938,0.6272172258839804
113.90193,-2.32475,train,1.9765171809639525E-4,45.358594979271984,0.4505175115732412
113.89892,-2.32832,train,5.681573908045078E-4,71.78707402643013,0.7020987561007711
116.7083601,0.527089473,train,5.893322530164225E-5,16.30561964595793,0.1964421157189008
116.1993572,0.17668571,train,9.474891818610056E-5,27.270784255762923,0.28214306822266116
117.8061839,4.962314545,train,4.10540869375872E-4,64.63693652184021,0.6300401460126623
117.22,5.2206,train,3.3108541006655895E-4,59.023781354597716,0.5786636478564637
117.2,5.2024,train,9.361468879370469E-4,82.43136329946135,0.7952205507711818
117.1536,5.2,train,4.323650478901192E-4,66.00802147944007,0.6420295316945789
117.271507,5.44932,train,0.002597191358010574,95.51690896494608,0.9150642702365297
117.281003,5.410304,train,0.0023487660495024503,94.85188839585688,0.9069169642874656
117.24344,5.440809,train,0.0018961139978025793,92.85580719575165,0.887202128572608
117.232357,5.467402,train,0.0010993016966416797,85.26185730345533,0.8201470375102139
117.42394,5.436985,train,0.0017815177904976329,92.11311511170139,0.8808112021973548
118.0500011,5.416667359,train,0.00334170193458753,97.8353342312191,0.9327141665056993
116.91559,4.75447,train,7.77145654509025E-5,22.55759069106285,0.24378413271907962
116.8333333,-1.15,train,0.0010487635405260513,84.50362821155116,0.8131000517146896
112.033333,-2.933333,train,1.3184491196423389E-4,34.863677137912035,0.35355247302576365
115.5,5.333333,train,7.697097640896677E-4,78.53813810081185,0.7615011282575971
116.95,5.1,train,2.1437210093280977E-4,47.56757739449613,0.4706903545431954
110.75,1.333333,train,1.7978241751656876E-4,43.07667917487475,0.42718659449337487
113.7,3.95,train,1.8503442919166137E-4,43.76803626149583,0.4342468924689256
113.75,3.816667,train,1.3793981585019118E-4,36.002510047660074,0.3639480819386189
113.1666667,3.333333333,train,0.0015209699925495563,90.14196276344542,0.863187094460529
114.333,4.45,train,0.0014890183717474574,89.83935830911825,0.8606604058224909
110.3333333,1.583333333,train,3.236266497166081E-4,58.47095741508487,0.5730984508660066
115.816667,2.866667,train,2.6374618476020345E-5,4.259886800464854,0.098617202367264
115.37,3.0,train,6.740315631692324E-5,19.363262260520308,0.21850589837486312
110.066667,-1.25,train,1.456122164241244E-4,37.328400421356726,0.3765683878548462
114.216667,3.75,train,3.45850897047885E-4,59.91853777959057,0.5892634386865552
109.616667,1.95,train,0.0043527236841351905,99.35839292459332,0.9475227210508352
112.233333,1.65,train,7.656291153776495E-5,22.189620893684733,0.24104228975741998
110.116667,-1.216667,train,5.381887344748461E-5,14.529598799660997,0.1825057445093831
111.92,0.58,train,1.3151658207538649E-4,34.80115815618594,0.35298281169177864
110.36,-2.36,train,2.999814166392244E-4,56.26983936014814,0.554441830804262
117.84193,4.970902,train,2.2369545666230548E-4,48.62921871946888,0.481308494013555
116.58,-0.27,train,2.282192593483982E-5,3.19181072056391,0.08648216418151519
115.1833,4.4833,train,6.164825914800948E-5,17.264695262822762,0.20364910890462237
117.494666,4.415102,train,3.625135322722393E-4,60.95153152907058,0.6006023099620291
110.45,1.716,train,0.0012331513394573377,87.35185034100886,0.836476511055758
113.76,3.82,train,4.852537446433544E-4,68.26864072717751,0.6680958655988365
