Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,bio_asc_01 contribution,bio_asc_02 contribution,bio_asc_03 contribution,bio_asc_05 contribution,bio_asc_06 contribution,bio_asc_07 contribution,bio_asc_08 contribution,bio_asc_09 contribution,bio_asc_11 contribution,bio_asc_12 contribution,bio_asc_14 contribution,bio_asc_15 contribution,bio_asc_21 contribution,bio_asc_22 contribution,bio_asc_24 contribution,bio_asc_27 contribution,bio_asc_42 contribution,bio_asc_01 permutation importance,bio_asc_02 permutation importance,bio_asc_03 permutation importance,bio_asc_05 permutation importance,bio_asc_06 permutation importance,bio_asc_07 permutation importance,bio_asc_08 permutation importance,bio_asc_09 permutation importance,bio_asc_11 permutation importance,bio_asc_12 permutation importance,bio_asc_14 permutation importance,bio_asc_15 permutation importance,bio_asc_21 permutation importance,bio_asc_22 permutation importance,bio_asc_24 permutation importance,bio_asc_27 permutation importance,bio_asc_42 permutation importance,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
river_dummy_0,57,0.8191,1.2811,500,0.8635,29,0.9160,0.8174,0.0434,10055,0.0000,3.1199,20.5115,0.0000,16.4632,0.0293,10.7855,10.1102,0.0000,7.5458,0.4468,1.4571,5.5055,3.5886,0.2646,2.9427,17.2292,0.0000,0.0888,11.8273,0.0000,28.7680,0.2999,21.7427,6.7023,0.0000,5.4194,0.0804,0.6539,2.6772,1.3034,0.2221,0.6838,19.5309,8.3983,0.2246,1.0000,0.0625,0.8944,0.0175,0.0000,3.211E-2,5.0000,0.1106,0.7086,0.0526,0.0345,1.165E-3,10.0000,0.1522,0.5623,0.0702,0.1379,5.692E-4,0.5081,0.0512,0.9301,0.0000,0.0000,6.991E-2,16.0378,0.1993,0.4362,0.0877,0.2069,5.317E-5,35.9772,0.3478,0.1929,0.1930,0.3103,6.064E-12,37.2388,0.3565,0.1827,0.1930,0.3448,2.282E-11,30.6223,0.3079,0.2414,0.1754,0.2414,3.773E-11,47.6238,0.4430,0.1134,0.2982,0.3448,1.749E-20,2.7855,0.0876,0.7979,0.0175,0.0000,3.363E-3,15.7424,0.1972,0.4415,0.0877,0.2069,6.853E-5
river_dummy_1,57,0.8881,1.3694,500,0.8855,29,0.8354,0.7692,0.0483,10057,0.0000,3.9327,15.6972,1.6738,19.0777,0.0368,15.5690,6.7532,0.0000,6.3187,1.2822,3.8440,5.9861,2.1670,1.0039,0.1990,16.4587,0.0000,10.3024,10.8140,0.0206,26.9779,0.0000,19.8662,7.3185,0.0000,2.5882,1.0671,0.6477,1.7416,4.5163,1.9305,0.0322,12.1767,8.3304,0.2068,1.0000,0.0507,0.8491,0.0000,0.0345,3.99E-2,5.0000,0.1059,0.6572,0.0351,0.0690,9.442E-4,10.0000,0.1482,0.5146,0.0526,0.1724,3.721E-4,3.1740,0.0865,0.7280,0.0000,0.0690,6.995E-3,17.2567,0.2036,0.3727,0.0877,0.2759,4.531E-5,34.6588,0.3514,0.1754,0.1754,0.4828,6.477E-7,34.8424,0.3530,0.1740,0.1754,0.4828,5.428E-7,22.4611,0.2431,0.2977,0.1404,0.3103,1.955E-6,22.4586,0.2431,0.2977,0.1404,0.2759,2.553E-7,3.1740,0.0865,0.7280,0.0000,0.0690,6.995E-3,14.9301,0.1865,0.4124,0.0702,0.2069,1.563E-5
river_dummy_2,58,0.9899,1.4469,500,0.8772,28,0.3723,0.7554,0.0542,10056,0.0000,10.7385,10.0770,0.0000,4.9437,0.0000,11.6887,26.4917,0.0000,0.9492,6.8693,1.8379,5.2574,3.9464,0.3911,0.4825,16.3266,0.0000,13.7012,4.1224,0.0000,2.7814,0.0000,15.9211,42.3968,0.0000,0.7152,2.1426,1.2117,0.2785,3.4814,0.0000,0.9072,12.3405,8.2315,0.1876,1.0000,0.0409,0.8028,0.0000,0.0714,4.72E-2,5.0000,0.0974,0.5980,0.0345,0.1786,7.937E-3,10.0000,0.1462,0.4611,0.0690,0.1786,6.545E-5,1.0784,0.0424,0.7961,0.0000,0.0714,4.098E-2,12.3973,0.1684,0.4132,0.0862,0.1786,5.745E-6,30.9660,0.3186,0.1896,0.1897,0.4643,1.496E-6,31.6390,0.3258,0.1843,0.1897,0.5000,8.192E-6,21.0753,0.2406,0.2857,0.1379,0.2857,2.581E-7,18.7999,0.2218,0.3139,0.1379,0.1786,3.598E-9,3.7952,0.0833,0.6434,0.0172,0.1429,9.106E-3,14.6984,0.1883,0.3736,0.1207,0.1786,4.832E-7
river_dummy (average),57.3333,0.8990,1.3658,500.0000,0.8754,28.6667,0.7079,0.7807,0.0486,10056.0000,0.0000,5.9304,15.4286,0.5579,13.4949,0.0220,12.6811,14.4517,0.0000,4.9379,2.8661,2.3797,5.5830,3.2340,0.5532,1.2081,16.6715,0.0000,8.0308,8.9212,0.0069,19.5091,0.1000,19.1767,18.8059,0.0000,2.9076,1.0967,0.8378,1.5658,3.1004,0.7175,0.5411,14.6827,8.3201,0.2063,1.0000,0.0514,0.8488,0.0058,0.0353,0.0397,5.0000,0.1046,0.6546,0.0407,0.0940,0.0033,10.0000,0.1489,0.5127,0.0639,0.1630,0.0003,1.5868,0.0600,0.8181,0.0000,0.0468,0.0393,15.2306,0.1904,0.4074,0.0872,0.2205,0.0000,33.8673,0.3393,0.1860,0.1860,0.4191,0.0000,34.5734,0.3451,0.1803,0.1860,0.4425,0.0000,24.7196,0.2639,0.2749,0.1512,0.2791,0.0000,29.6274,0.3026,0.2417,0.1922,0.2664,0.0000,3.2516,0.0858,0.7231,0.0116,0.0706,0.0065,15.1236,0.1907,0.4092,0.0929,0.1975,0.0000
