Predictor variable,Categorical,Sample average
bio_asc_01,false,261.1578947368421
bio_asc_02,false,77.66666666666667
bio_asc_03,false,87.6842105263158
bio_asc_05,false,308.0
bio_asc_06,false,219.73684210526315
bio_asc_07,false,88.26315789473684
bio_asc_08,false,257.859649122807
bio_asc_09,false,262.3333333333333
bio_asc_11,false,255.98245614035088
bio_asc_12,false,2870.0
bio_asc_14,false,157.10526315789474
bio_asc_15,false,23.140350877192983
bio_asc_21,false,0.019754298782923764
bio_asc_22,false,3.6140350877192984
bio_asc_24,false,169.9298245614035
bio_asc_27,false,0.1660984671070126
bio_asc_42,true,1.0
bias1,false,0.6131578947891269
