Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.15515E-9,0.000000516,0.000029414,1,0,0
5.2423E-9,0.00000104,0.000029911,0.999900567,0,0
9.11253E-9,0.000002786,0.000051992,0.9997017,0,0
1.34593E-8,0.000010746,0.000076791,0.999005668,0,0
1.85458E-8,0.000025342,0.000105809,0.998110769,0,0
2.33436E-8,0.000051128,0.000133177,0.99691757,0,0
3.94405E-8,0.000102517,0.000224991,0.995326638,0,0
6.92606E-8,0.000251271,0.000395035,0.992542508,0,0
1.27649E-7,0.000506614,0.000727819,0.98985781,0,0
2.36902E-7,0.001000819,0.001349905,0.98707368,0,0
4.95808E-7,0.002519036,0.002821027,0.982798051,0,0
8.31876E-7,0.005068558,0.004724143,0.978920155,0,0
1.57744E-6,0.010144745,0.008920344,0.974743959,0,0
3.33397E-6,0.025202902,0.018668061,0.968678532,0,0
4.94726E-6,0.050169961,0.027453383,0.962613105,0,0
6.8243E-6,0.100217864,0.0374791,0.954260714,0,0
8.61197E-6,0.200604848,0.046837196,0.941433827,0,0
9.63467E-6,0.300261187,0.052109396,0.930595605,0,0
1.07499E-5,0.400025056,0.057792543,0.920851148,0,0
1.18442E-5,0.500040898,0.063303249,0.912001591,0,0
1.27556E-5,0.600743415,0.067843795,0.903848066,0,0.034482759
1.36188E-5,0.701300893,0.072103938,0.89629114,0,0.034482759
1.3968E-5,0.750943979,0.073816262,0.892711544,0,0.034482759
1.44333E-5,0.800695938,0.076088053,0.889231381,0,0.034482759
1.52456E-5,0.900215933,0.080027608,0.882569355,0,0.034482759
1.59852E-5,1.000235698,0.083585465,0.876205628,0,0.034482759
1.67506E-5,1.100111234,0.087238411,0.870140201,0,0.034482759
1.75583E-5,1.20114644,0.091062072,0.86427364,0,0.034482759
1.80516E-5,1.300893711,0.093381425,0.858705379,0,0.068965517
1.86338E-5,1.401831538,0.096103848,0.853236552,0,0.068965517
1.92253E-5,1.500193473,0.098853088,0.848066024,0,0.068965517
2.07596E-5,1.750073681,0.105906565,0.83563687,0,0.068965517
2.24316E-5,2.001588846,0.113468751,0.824102615,0,0.068965517
2.39084E-5,2.252046438,0.120041863,0.813363826,0,0.068965517
2.52064E-5,2.502399521,0.125739546,0.803221637,0,0.068965517
2.65626E-5,2.751128556,0.131614691,0.793676047,0,0.068965517
2.77E-5,3.000935119,0.136481161,0.784528189,0,0.068965517
