Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.37499E-7,0.00004375,0.002761162,1,0,0
5.3512E-7,0.000097262,0.003375193,0.999900547,0,0
5.9645E-7,0.000156907,0.003760568,0.999801094,0,0
6.82402E-7,0.000292659,0.004300164,0.999602188,0,0
8.03194E-7,0.000527196,0.00505748,0.999303829,0,0
9.93475E-7,0.001070868,0.006248139,0.998707111,0,0
1.33947E-6,0.00252276,0.0084059,0.997414222,0,0
1.63942E-6,0.005078396,0.010268891,0.995723521,0,0
2.56919E-6,0.010236141,0.015999535,0.993336648,0,0
4.64265E-6,0.025192919,0.028543368,0.989259075,0,0
6.85441E-6,0.05033026,0.041576087,0.984982596,0,0
9.12348E-6,0.100848507,0.054588033,0.978717056,0,0
1.18224E-5,0.200836268,0.069612041,0.969169567,0,0
1.35032E-5,0.300880718,0.078729727,0.96131278,0,0
1.49908E-5,0.400559477,0.086651854,0.954351069,0,0
1.59979E-5,0.501273368,0.091937896,0.947886624,0,0
1.70213E-5,0.600099579,0.097247039,0.941919443,0,0
1.80234E-5,0.700166227,0.102386119,0.936250622,0,0
1.83574E-5,0.751111889,0.104086177,0.933465937,0,0
1.86527E-5,0.801076054,0.105583757,0.930780706,0,0
1.93027E-5,0.901691455,0.108862491,0.925509697,0,0
2.00348E-5,1.000083571,0.112526916,0.920537046,0,0
2.06354E-5,1.101845957,0.115510344,0.915564396,0,0
2.10576E-5,1.201765694,0.117595988,0.910790651,0,0
2.15461E-5,1.30198769,0.11999645,0.90611636,0,0
2.20466E-5,1.400160185,0.122442779,0.901640975,0,0
2.24403E-5,1.500128979,0.124357223,0.897165589,0.01754386,0
2.39042E-5,1.750865669,0.131403819,0.886424664,0.01754386,0
2.49232E-5,2.00025632,0.136242276,0.876280457,0.01754386,0
2.60436E-5,2.25250776,0.14150037,0.86643461,0.01754386,0
2.6905E-5,2.501111328,0.145499534,0.857086027,0.01754386,0
2.78295E-5,2.750646163,0.149750539,0.848035803,0.01754386,0
2.86184E-5,3.001835465,0.153344435,0.839184485,0.01754386,0
2.94027E-5,3.25084695,0.156887721,0.830631527,0.01754386,0
3.02593E-5,3.501265131,0.160723804,0.822277474,0.01754386,0
3.08988E-5,3.752186591,0.163564958,0.814122327,0.01754386,0
3.1631E-5,4.002539651,0.166794412,0.806166087,0.01754386,0
3.22716E-5,4.251762287,0.169599228,0.798408752,0.01754386,0
3.30152E-5,4.500029865,0.172831987,0.790850323,0.01754386,0
3.37467E-5,4.750379199,0.175987297,0.783391348,0.01754386,0
3.43902E-5,5.002394521,0.178743081,0.776031825,0.01754386,0
3.50275E-5,5.252446263,0.181454485,0.768871208,0.01754386,0
3.57054E-5,5.500065718,0.184319063,0.761909498,0.01754386,0
3.63291E-5,5.752374965,0.186936796,0.754947787,0.01754386,0
3.69454E-5,6.001543431,0.189507123,0.748184983,0.01754386,0
3.75446E-5,6.251123536,0.191990374,0.741521631,0.01754386,0.034482759
3.82363E-5,6.500937725,0.194838417,0.734957732,0.01754386,0.034482759
3.89118E-5,6.75173664,0.197600495,0.728493287,0.01754386,0.034482759
3.94851E-5,7.002849646,0.199929742,0.722128294,0.01754386,0.034482759
3.99562E-5,7.253168767,0.201833576,0.715862755,0.01754386,0.034482759
4.05757E-5,7.502869436,0.204323469,0.709696668,0.01754386,0.034482759
4.12243E-5,7.752460515,0.206913728,0.703630035,0.01754386,0.034482759
4.17354E-5,8.00127465,0.208943123,0.697662854,0.01754386,0.034482759
4.23391E-5,8.253531482,0.211326936,0.691695674,0.01754386,0.034482759
4.28606E-5,8.500577648,0.213374564,0.685927399,0.01754386,0.034482759
4.34127E-5,8.750621529,0.215530511,0.680159125,0.01754386,0.034482759
4.4047E-5,9.003999635,0.217993008,0.67439085,0.01754386,0.034482759
4.45696E-5,9.252049002,0.220010654,0.668821482,0.035087719,0.034482759
4.52435E-5,9.503711582,0.222596478,0.663252113,0.052631579,0.068965517
4.58895E-5,9.750086367,0.225059701,0.657881651,0.070175439,0.103448276
4.63125E-5,10.003629795,0.226664069,0.652411735,0.070175439,0.103448276
4.67562E-5,10.250322842,0.228339483,0.647140726,0.070175439,0.103448276
4.74732E-5,10.500173237,0.231032367,0.641869717,0.070175439,0.103448276
4.80951E-5,10.753524401,0.233352554,0.636598707,0.070175439,0.103448276
4.87108E-5,11.000353733,0.235636036,0.631526604,0.070175439,0.103448276
4.92264E-5,11.250112717,0.237537558,0.6264545,0.070175439,0.137931034
