variable,x,y
bio_asc_42,1.0,0.5735281705856323
bio_asc_42,2.0,0.7585453391075134
bio_asc_42,3.0,0.25645482540130615
bio_asc_42,4.0,0.25645482540130615
bio_asc_42,5.0,0.2540225684642792
bio_asc_42,6.0,0.25645482540130615
bio_asc_42,9.0,0.5336586236953735
bio_asc_42,10.0,0.25645482540130615
bio_asc_42,11.0,0.25645482540130615
bio_asc_42,12.0,0.25645482540130615
bio_asc_42,13.0,0.25645482540130615
bio_asc_42,14.0,0.25645482540130615
bio_asc_42,15.0,0.25645482540130615
bio_asc_42,16.0,0.26228824257850647
bio_asc_42,17.0,0.25645482540130615
